OTU,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1101:18209:28983__kiwi2020__AG0529-0639__ITS1F,Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Scedosporium,Scedosporium_aurantiacum|SH210194.06FU
M00598:87:000000000-J7KGW:1:1101:18260:24753__kiwi2020__AG0529-0134__ITS1F,Fungi,Ascomycota,Pezizomycetes,Pezizales,Rhizinaceae,Phymatotrichopsis,Phymatotrichopsis_omnivora|SH207548.06FU
M00598:87:000000000-J7KGW:1:1101:18311:2383__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora_hoffmannii|SH226439.06FU
M00598:87:000000000-J7KGW:1:1101:18421:5632__kiwi2020__AG0529-1128__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_samala|SH234978.06FU
M00598:87:000000000-J7KGW:1:1101:18621:21171__kiwi2020__AG0529-0638__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_salmonis|SH230199.06FU
M00598:87:000000000-J7KGW:1:1101:18653:4742__kiwi2020__AG0529-0091__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium_infirmominiatum|SH212071.06FU
M00598:87:000000000-J7KGW:1:1101:19125:27091__kiwi2020__AG0529-0421__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolales_unidentified,Sporidiobolales_unidentified_1,Sporidiobolales_sp|SH218905.06FU
M00598:87:000000000-J7KGW:1:1101:19139:3907__kiwi2020__AG0529-0912__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH195144.06FU
M00598:87:000000000-J7KGW:1:1101:19251:22172__kiwi2020__AG0529-1121__ITS1F,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pyronemataceae_unidentified,Pyronemataceae_sp|SH226417.06FU
M00598:87:000000000-J7KGW:1:1101:19353:14141__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1101:19362:9983__kiwi2020__AG0529-0387__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_cresolica|SH212267.06FU
M00598:87:000000000-J7KGW:1:1101:19499:16820__kiwi2020__AG0529-0992__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_raphiae|SH201044.06FU
M00598:87:000000000-J7KGW:1:1101:19597:7290__kiwi2020__AG0529-0959__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1101:19648:13069__kiwi2020__AG0529-0087__ITS1F,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Plectosphaerellaceae,Lectera,Lectera_longa|SH219644.06FU
M00598:87:000000000-J7KGW:1:1101:19660:9349__kiwi2020__AG0529-0086__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_flavus|SH225571.06FU
M00598:87:000000000-J7KGW:1:1101:19866:3411__kiwi2020__AG0529-0444__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_mucilaginosa|SH228918.06FU
M00598:87:000000000-J7KGW:1:1101:19914:15888__kiwi2020__AG0529-0531__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Pestalotiopsis,Pestalotiopsis_sp_YM1|SH230755.06FU
M00598:87:000000000-J7KGW:1:1101:20087:7736__kiwi2020__AG0529-0397__ITS1F,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthaceae_unidentified,Diaporthaceae_sp|SH194744.06FU
M00598:87:000000000-J7KGW:1:1101:20184:22127__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Naumovozyma,Naumovozyma_sp_QMW_2012|SH236489.06FU
M00598:87:000000000-J7KGW:1:1101:20583:5395__kiwi2020__AG0529-1179__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaetopsis,Pyrenochaetopsis_pratorum|SH195316.06FU
M00598:87:000000000-J7KGW:1:1101:20723:7218__kiwi2020__AG0529-0862__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Stromatonectria,Stromatonectria_caraganae|SH227333.06FU
M00598:87:000000000-J7KGW:1:1101:21210:10945__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Ceramothyrium,Ceramothyrium_carniolicum|SH238238.06FU
M00598:87:000000000-J7KGW:1:1101:21391:19144__kiwi2020__AG0529-0444__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_unidentified,Hypocreales_unidentified_1,Hypocreales_sp|SH219663.06FU
M00598:87:000000000-J7KGW:1:1101:21437:19049__kiwi2020__AG0529-0891__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH216771.06FU
M00598:87:000000000-J7KGW:1:1101:21510:5059__kiwi2020__AG0529-0854__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
M00598:87:000000000-J7KGW:1:1101:21748:9372__kiwi2020__AG0529-0970__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellomycetes_unidentified,Tremellomycetes_unidentified_1,Tremellomycetes_unidentified_1,Tremellomycetes_sp|SH219359.06FU
M00598:87:000000000-J7KGW:1:1101:21772:5790__kiwi2020__AG0529-0815__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH209274.06FU
M00598:87:000000000-J7KGW:1:1101:21844:19482__kiwi2020__AG0529-0891__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1101:21878:20465__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH228820.06FU
M00598:87:000000000-J7KGW:1:1101:22318:11795__kiwi2020__AG0529-0370__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis,Botrytis_caroliniana|SH237443.06FU
M00598:87:000000000-J7KGW:1:1101:22341:22687__kiwi2020__AG0529-1155__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH209335.06FU
M00598:87:000000000-J7KGW:1:1101:22649:6878__kiwi2020__AG0529-0180__ITS1F,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Aureobasidium,Aureobasidium_pullulans|SH206629.06FU
M00598:87:000000000-J7KGW:1:1101:22875:10250__kiwi2020__AG0529-0992__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,Rhizopogon_sp|SH239793.06FU
M00598:87:000000000-J7KGW:1:1101:23045:8745__kiwi2020__AG0529-0913__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_podzolicus|SH197001.06FU
M00598:87:000000000-J7KGW:1:1101:23232:19853__kiwi2020__AG0529-0646__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Anthostomella,Anthostomella_sepelibilis|SH221740.06FU
M00598:87:000000000-J7KGW:1:1101:23237:19547__kiwi2020__AG0529-0892__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Venturiaceae_1,Venturia,Venturia_sp|SH207404.06FU
M00598:87:000000000-J7KGW:1:1101:23370:9131__kiwi2020__AG0529-0924__ITS1F,Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,Synchytriaceae,Synchytrium,Synchytrium_endobioticum|SH234051.06FU
M00598:87:000000000-J7KGW:1:1101:23679:19618__kiwi2020__AG0529-0377__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH212031.06FU
M00598:87:000000000-J7KGW:1:1101:23705:17397__kiwi2020__AG0529-0913__ITS1F,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH207337.06FU
M00598:87:000000000-J7KGW:1:1101:24151:5345__kiwi2020__AG0529-0769__ITS1F,Fungi,Ascomycota,Leotiomycetes,Incertae_sedis,Incertae_sedis_1,Chaetomella,Chaetomella_oblonga|SH239586.06FU
M00598:87:000000000-J7KGW:1:1101:24584:24881__kiwi2020__AG0529-1127__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_takashimae|SH196965.06FU
M00598:87:000000000-J7KGW:1:1101:24730:12108__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia_chlamydosporia|SH211307.06FU
M00598:87:000000000-J7KGW:1:1101:24827:8077__kiwi2020__AG0529-0919__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_sp|SH196964.06FU
M00598:87:000000000-J7KGW:1:1101:25846:11066__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Epicoccum,Epicoccum_nigrum|SH197545.06FU
M00598:87:000000000-J7KGW:1:1101:25913:21694__kiwi2020__AG0529-0038__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp|SH197115.06FU
M00598:87:000000000-J7KGW:1:1101:26168:17233__kiwi2020__AG0529-0875__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Incertae_sedis_23,Ascotaiwania,Ascotaiwania_lignicola|SH238838.06FU
M00598:87:000000000-J7KGW:1:1101:26262:22460__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Trichocladium,Trichocladium_asperum|SH234966.06FU
M00598:87:000000000-J7KGW:1:1101:26468:9906__kiwi2020__AG0529-1175__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH200032.06FU
M00598:87:000000000-J7KGW:1:1101:26879:18142__kiwi2020__AG0529-1034__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia_coronata|SH215818.06FU
M00598:87:000000000-J7KGW:1:1101:27017:21313__kiwi2020__AG0529-0961__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH219629.06FU
M00598:87:000000000-J7KGW:1:1101:27302:12123__kiwi2020__AG0529-0654__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidiella,Leucosporidiella_muscorum|SH212312.06FU
M00598:87:000000000-J7KGW:1:1101:28172:19092__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH205840.06FU
M00598:87:000000000-J7KGW:1:1101:28528:9857__kiwi2020__AG0529-0888__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH216928.06FU
M00598:87:000000000-J7KGW:1:1101:4593:18846__kiwi2020__AG0529-0922__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH197107.06FU
M00598:87:000000000-J7KGW:1:1101:4847:14470__kiwi2020__AG0529-0481__ITS1F,Fungi,Chytridiomycota,Chytridiomycetes,Rhizophydiales,Rhizophydiales_unidentified,Rhizophydiales_unidentified_1,Rhizophydiales_sp|SH238809.06FU
M00598:87:000000000-J7KGW:1:1101:4952:17470__kiwi2020__AG0529-0396__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_indohii|SH199438.06FU
M00598:87:000000000-J7KGW:1:1101:6631:15617__kiwi2020__AG0529-1159__ITS1F,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_restricta|SH206219.06FU
M00598:87:000000000-J7KGW:1:1101:7001:8177__kiwi2020__AG0529-0925__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon_porosum|SH195343.06FU
M00598:87:000000000-J7KGW:1:1101:7116:14455__kiwi2020__AG0529-0879__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH230166.06FU
