OTU,kingdom,phylum,class,order,family,genus,species
M00598:87:000000000-J7KGW:1:1110:11940:5466__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Seiridium,Seiridium_phylicae|SH190338.06FU
M00598:87:000000000-J7KGW:1:1110:12124:22776__kiwi2020__AG0529-0961__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH227414.06FU
M00598:87:000000000-J7KGW:1:1110:12673:18914__kiwi2020__AG0529-0930__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps_acicularis|SH227647.06FU
M00598:87:000000000-J7KGW:1:1110:13683:25096__kiwi2020__AG0529-0475__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Periconia,Periconia_sp_CY137|SH232019.06FU
M00598:87:000000000-J7KGW:1:1110:13906:3430__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH207340.06FU
M00598:87:000000000-J7KGW:1:1110:13951:17028__kiwi2020__AG0529-0922__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1110:14276:17549__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,Hypocrea_patella|SH212042.06FU
M00598:87:000000000-J7KGW:1:1110:14487:8433__kiwi2020__AG0529-1128__ITS1F,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Antarctomyces,Antarctomyces_sp_Di101_3|SH222305.06FU
M00598:87:000000000-J7KGW:1:1110:15466:20187__kiwi2020__AG0529-1156__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH214851.06FU
M00598:87:000000000-J7KGW:1:1110:15493:24295__kiwi2020__AG0529-0769__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Sirobasidium,Sirobasidium_brefeldianum|SH196668.06FU
M00598:87:000000000-J7KGW:1:1110:16224:4152__kiwi2020__AG0529-1157__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_victoriae|SH198055.06FU
M00598:87:000000000-J7KGW:1:1110:16714:27803__kiwi2020__AG0529-0924__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_chaetospira|SH214956.06FU
M00598:87:000000000-J7KGW:1:1110:17257:27053__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp|SH226566.06FU
M00598:87:000000000-J7KGW:1:1110:18512:21998__kiwi2020__AG0529-0835__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Gliocladium,Gliocladium_cibotii|SH219651.06FU
M00598:87:000000000-J7KGW:1:1110:18548:5261__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_cf_nebulosa_JZG_2008|SH196223.06FU
M00598:87:000000000-J7KGW:1:1110:19092:3048__kiwi2020__AG0529-0903__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_lamellibrachiae|SH227552.06FU
M00598:87:000000000-J7KGW:1:1110:19922:22564__kiwi2020__AG0529-0859__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_heimaeyensis|SH198057.06FU
M00598:87:000000000-J7KGW:1:1110:20934:5788__kiwi2020__AG0529-1121__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_paraflavus|SH223311.06FU
M00598:87:000000000-J7KGW:1:1110:21164:26701__kiwi2020__AG0529-0997__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_unidentified,Chaetothyriales_unidentified_1,Chaetothyriales_sp|SH228270.06FU
M00598:87:000000000-J7KGW:1:1110:21187:19695__kiwi2020__AG0529-0912__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp|SH219927.06FU
M00598:87:000000000-J7KGW:1:1110:21200:12171__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH211028.06FU
M00598:87:000000000-J7KGW:1:1110:21485:12206__kiwi2020__AG0529-0920__ITS1F,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora_fasciculata|SH226440.06FU
M00598:87:000000000-J7KGW:1:1110:21490:24862__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH225536.06FU
M00598:87:000000000-J7KGW:1:1110:22435:12050__kiwi2020__AG0529-1157__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Bullera,Bullera_globospora|SH197114.06FU
M00598:87:000000000-J7KGW:1:1110:23847:10548__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Flagellospora,Flagellospora_leucorhynchos|SH207336.06FU
M00598:87:000000000-J7KGW:1:1110:24487:11328__kiwi2020__AG0529-0924__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Kockovaella,Kockovaella_machilophila|SH195535.06FU
M00598:87:000000000-J7KGW:1:1110:25666:24186__kiwi2020__AG0529-0862__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Fellomyces,Fellomyces_lichenicola|SH195530.06FU
M00598:87:000000000-J7KGW:1:1110:26412:8589__kiwi2020__AG0529-0574__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Davidiellaceae,Davidiella,Davidiella_tassiana|SH196750.06FU
M00598:87:000000000-J7KGW:1:1110:26478:16242__kiwi2020__AG0529-0819__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellales_unidentified,Tremellales_unidentified_1,Tremellales_sp|SH229402.06FU
M00598:87:000000000-J7KGW:1:1110:27011:19335__kiwi2020__AG0529-0924__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp|SH205708.06FU
M00598:87:000000000-J7KGW:1:1110:27261:7692__kiwi2020__AG0529-0087__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_perniciosus|SH229459.06FU
M00598:87:000000000-J7KGW:1:1110:27275:13525__kiwi2020__AG0529-0888__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1110:27697:15479__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Annulatascaceae,Rhodoveronaea,Rhodoveronaea_varioseptata|SH225668.06FU
M00598:87:000000000-J7KGW:1:1110:28041:11813__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH191096.06FU
M00598:87:000000000-J7KGW:1:1110:28215:9214__kiwi2020__AG0529-0891__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cercophora,Cercophora_samala|SH234978.06FU
M00598:87:000000000-J7KGW:1:1110:4873:7412__kiwi2020__AG0529-0891__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1110:6714:9300__kiwi2020__AG0529-0909__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Kockovaella,Kockovaella_vietnamensis|SH195544.06FU
M00598:87:000000000-J7KGW:1:1110:6931:9346__kiwi2020__AG0529-0467__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_lamellibrachiae|SH227552.06FU
M00598:87:000000000-J7KGW:1:1110:8313:10051__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Capronia,Capronia_pilosella|SH232692.06FU
M00598:87:000000000-J7KGW:1:1110:8356:20358__kiwi2020__AG0529-0058__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Ilyonectria,Ilyonectria_sp_LL_2013d|SH201356.06FU
M00598:87:000000000-J7KGW:1:1110:8903:24169__kiwi2020__AG0529-1155__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH238459.06FU
M00598:87:000000000-J7KGW:1:1110:9699:7660__kiwi2020__AG0529-0087__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Capnodium,Capnodium_coffeae|SH196198.06FU
M00598:87:000000000-J7KGW:1:1111:10079:24550__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp|SH215827.06FU
M00598:87:000000000-J7KGW:1:1111:10562:10702__kiwi2020__AG0529-0931__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellomycetes_unidentified,Tremellomycetes_unidentified_1,Tremellomycetes_unidentified_1,Tremellomycetes_sp|SH197004.06FU
M00598:87:000000000-J7KGW:1:1111:11418:8402__kiwi2020__AG0529-0285__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH234921.06FU
M00598:87:000000000-J7KGW:1:1111:12445:8074__kiwi2020__AG0529-0586__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Stromatonectria,Stromatonectria_caraganae|SH227333.06FU
M00598:87:000000000-J7KGW:1:1111:12871:9753__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Incertae_sedis_12_unidentified,Tremellales_sp|SH195378.06FU
M00598:87:000000000-J7KGW:1:1111:12873:15037__kiwi2020__AG0529-0875__ITS1F,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Incertae_sedis_11,Candida,Candida_sp_CBS_12463|SH223489.06FU
M00598:87:000000000-J7KGW:1:1111:13340:12588__kiwi2020__AG0529-0877__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_paraflavus|SH223311.06FU
M00598:87:000000000-J7KGW:1:1111:13665:22680__kiwi2020__AG0529-0475__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_sp|SH225370.06FU
M00598:87:000000000-J7KGW:1:1111:14038:18901__kiwi2020__AG0529-0475__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mucorales,Mucoraceae,Mucor,Mucor_hiemalis|SH202366.06FU
M00598:87:000000000-J7KGW:1:1111:14078:11706__kiwi2020__AG0529-0862__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_sp|SH213200.06FU
M00598:87:000000000-J7KGW:1:1111:14094:26131__kiwi2020__AG0529-1011__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_victoriae|SH198055.06FU
M00598:87:000000000-J7KGW:1:1111:14247:22792__kiwi2020__AG0529-0376__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH214852.06FU
M00598:87:000000000-J7KGW:1:1111:16850:21193__kiwi2020__AG0529-0475__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mucorales,Mucoraceae,Mucoraceae_unidentified,Mucoraceae_sp|SH198949.06FU
M00598:87:000000000-J7KGW:1:1111:18074:16887__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Incertae_sedis_19,Scleroconidioma,Scleroconidioma_sphagnicola|SH231448.06FU
M00598:87:000000000-J7KGW:1:1111:18224:24967__kiwi2020__AG0529-0911__ITS1F,Fungi,Chytridiomycota,Chytridiomycota_unidentified,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1,Chytridiomycota_unidentified_1_1,Chytridiomycota_sp|SH233268.06FU
M00598:87:000000000-J7KGW:1:1111:18664:8947__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH222542.06FU
M00598:87:000000000-J7KGW:1:1111:18818:20807__kiwi2020__AG0529-0769__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp_SJ8L05|SH197184.06FU
M00598:87:000000000-J7KGW:1:1111:19569:7223__kiwi2020__AG0529-0646__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Ceramothyrium,Ceramothyrium_carniolicum|SH238238.06FU
M00598:87:000000000-J7KGW:1:1111:20300:6963__kiwi2020__AG0529-0285__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_catarinonii|SH196960.06FU
M00598:87:000000000-J7KGW:1:1111:21153:21831__kiwi2020__AG0529-1157__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellomycetes_unidentified,Tremellomycetes_unidentified_1,Tremellomycetes_unidentified_1,Tremellomycetes_sp|SH212069.06FU
M00598:87:000000000-J7KGW:1:1111:21172:12165__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,Ramalinaceae_unidentified,Ramalinaceae_sp|SH225676.06FU
M00598:87:000000000-J7KGW:1:1111:21634:18088__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp_OTU_011|SH217368.06FU
M00598:87:000000000-J7KGW:1:1111:22499:11086__kiwi2020__AG0529-0376__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nalanthamala,Nalanthamala_diospyri|SH206760.06FU
M00598:87:000000000-J7KGW:1:1111:22508:10541__kiwi2020__AG0529-0476__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_fuscescens|SH215218.06FU
M00598:87:000000000-J7KGW:1:1111:23600:10763__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_oviparasitica|SH238609.06FU
M00598:87:000000000-J7KGW:1:1111:23686:9372__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Acremonium,Acremonium_alternatum|SH234057.06FU
M00598:87:000000000-J7KGW:1:1111:23734:20061__kiwi2020__AG0529-0391__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,Cortinarius_sp_DAO_2012a|SH191965.06FU
M00598:87:000000000-J7KGW:1:1111:24167:15594__kiwi2020__AG0529-1127__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Rhodotorula,Rhodotorula_pinicola|SH227543.06FU
M00598:87:000000000-J7KGW:1:1111:24503:17479__kiwi2020__AG0529-0913__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacinaceae_unidentified,Sebacinaceae_sp|SH234126.06FU
M00598:87:000000000-J7KGW:1:1111:24838:14260__kiwi2020__AG0529-0401__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH230250.06FU
M00598:87:000000000-J7KGW:1:1111:25038:17520__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Staurothele,Staurothele_areolata|SH221255.06FU
M00598:87:000000000-J7KGW:1:1111:25256:18434__kiwi2020__AG0529-0461__ITS1F,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
M00598:87:000000000-J7KGW:1:1111:25427:17600__kiwi2020__AG0529-0285__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Sistotrema,Sistotrema_sp|SH216108.06FU
M00598:87:000000000-J7KGW:1:1111:26332:23913__kiwi2020__AG0529-0922__ITS1F,Fungi,Ascomycota,Sordariomycetes,Incertae_sedis_7,Annulatascaceae,Conlarium,Conlarium_duplumascospora|SH225495.06FU
M00598:87:000000000-J7KGW:1:1111:27089:12676__kiwi2020__AG0529-0922__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Ilyonectria,Ilyonectria_robusta|SH201349.06FU
M00598:87:000000000-J7KGW:1:1111:27273:19960__kiwi2020__AG0529-0924__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phaeomoniella,Phaeomoniella_chlamydospora|SH222003.06FU
M00598:87:000000000-J7KGW:1:1111:27443:14080__kiwi2020__AG0529-0859__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_jacksonii|SH201034.06FU
M00598:87:000000000-J7KGW:1:1111:27577:16205__kiwi2020__AG0529-0961__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_unidentified,Xylariales_unidentified_1,Xylariales_sp|SH219146.06FU
M00598:87:000000000-J7KGW:1:1111:27610:19815__kiwi2020__AG0529-0912__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_bisporalis|SH199439.06FU
M00598:87:000000000-J7KGW:1:1111:3791:15854__kiwi2020__AG0529-1128__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylariaceae_unidentified,Xylariaceae_sp|SH236767.06FU
M00598:87:000000000-J7KGW:1:1111:3941:15636__kiwi2020__AG0529-0160__ITS1F,Fungi,Basidiomycota,Basidiomycota_unidentified,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1_1,Basidiomycota_sp|SH196706.06FU
M00598:87:000000000-J7KGW:1:1111:5851:13195__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_unidentified,Xylariales_unidentified_1,Xylariales_sp|SH216939.06FU
M00598:87:000000000-J7KGW:1:1111:6744:16808__kiwi2020__AG0529-0891__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
M00598:87:000000000-J7KGW:1:1111:7530:20578__kiwi2020__AG0529-0922__ITS1F,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH202060.06FU
M00598:87:000000000-J7KGW:1:1111:7949:17269__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Acremonium,Acremonium_sp|SH240375.06FU
M00598:87:000000000-J7KGW:1:1111:8347:25546__kiwi2020__AG0529-0877__ITS1F,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH198372.06FU
M00598:87:000000000-J7KGW:1:1111:8693:12865__kiwi2020__AG0529-1157__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Guehomyces,Guehomyces_pullulans|SH215066.06FU
M00598:87:000000000-J7KGW:1:1111:9906:22819__kiwi2020__AG0529-0970__ITS1F,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Capnodium,Capnodium_coffeae|SH196198.06FU
M00598:87:000000000-J7KGW:1:1112:10514:22871__kiwi2020__AG0529-0913__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidiaceae_unidentified,Ceratobasidiaceae_sp|SH215461.06FU
M00598:87:000000000-J7KGW:1:1112:11080:19242__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH206984.06FU
M00598:87:000000000-J7KGW:1:1112:11312:21829__kiwi2020__AG0529-1156__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH206983.06FU
M00598:87:000000000-J7KGW:1:1112:12195:13671__kiwi2020__AG0529-0476__ITS1F,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Knufia,Knufia_perforans|SH209750.06FU
M00598:87:000000000-J7KGW:1:1112:12330:23196__kiwi2020__AG0529-0992__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Xanthophyllomyces,Xanthophyllomyces_dendrorhous|SH228077.06FU
M00598:87:000000000-J7KGW:1:1112:14323:4733__kiwi2020__AG0529-0892__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Venturiaceae_1,Fusicladium,Fusicladium_africanum|SH232276.06FU
M00598:87:000000000-J7KGW:1:1112:14507:26136__kiwi2020__AG0529-0087__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_takashimae|SH196965.06FU
M00598:87:000000000-J7KGW:1:1112:15919:19831__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Immersidiscosia,Immersidiscosia_eucalypti|SH203269.06FU
M00598:87:000000000-J7KGW:1:1112:16268:19899__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH203351.06FU
M00598:87:000000000-J7KGW:1:1112:16700:21600__kiwi2020__AG0529-0911__ITS1F,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,Chloridium_sp_GHJ_3|SH234445.06FU
M00598:87:000000000-J7KGW:1:1112:17143:19374__kiwi2020__AG0529-0970__ITS1F,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon_ovoides|SH195342.06FU
M00598:87:000000000-J7KGW:1:1112:17663:23019__kiwi2020__AG0529-1038__ITS1F,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
M00598:87:000000000-J7KGW:1:1112:17923:6653__kiwi2020__AG0529-0285__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Arthroderma,Arthroderma_curreyi|SH228257.06FU
M00598:87:000000000-J7KGW:1:1112:18711:7933__kiwi2020__AG0529-0493__ITS1F,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Scutellospora_spinosissima|SH198423.06FU
M00598:87:000000000-J7KGW:1:1112:19433:21244__kiwi2020__AG0529-0992__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_novae-zeelandiae|SH231334.06FU
M00598:87:000000000-J7KGW:1:1112:19805:13279__kiwi2020__AG0529-0113__ITS1F,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Tubaria,Tubaria_romagnesiana|SH200036.06FU
M00598:87:000000000-J7KGW:1:1112:20746:24120__kiwi2020__AG0529-1154__ITS1F,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH211782.06FU
M00598:87:000000000-J7KGW:1:1112:20989:5876__kiwi2020__AG0529-0805__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus,Aspergillus_sp_NRRL_4993|SH206415.06FU
M00598:87:000000000-J7KGW:1:1112:21549:21382__kiwi2020__AG0529-0912__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Verrucaria,Verrucaria_csernaensis|SH221261.06FU
M00598:87:000000000-J7KGW:1:1112:22319:22205__kiwi2020__AG0529-1169__ITS1F,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_ruberrimus|SH196707.06FU
M00598:87:000000000-J7KGW:1:1112:22892:13768__kiwi2020__AG0529-0877__ITS1F,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH196126.06FU
M00598:87:000000000-J7KGW:1:1112:23440:19225__kiwi2020__AG0529-1169__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Incertae_sedis_3_unidentified,Hypocreales_sp|SH211523.06FU
M00598:87:000000000-J7KGW:1:1112:23598:8870__kiwi2020__AG0529-0961__ITS1F,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae_unidentified,Herpotrichiellaceae_sp|SH211543.06FU
M00598:87:000000000-J7KGW:1:1112:23874:21831__kiwi2020__AG0529-0581__ITS1F,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH225319.06FU
M00598:87:000000000-J7KGW:1:1112:23960:10795__kiwi2020__AG0529-0875__ITS1F,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora_sp|SH226443.06FU
M00598:87:000000000-J7KGW:1:1112:24542:16376__kiwi2020__AG0529-0862__ITS1F,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Myrothecium,Myrothecium_gramineum|SH227386.06FU
